video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"s9FH4rDMvds","LEVEI UM FORA? FINGI ESTAR APAIXONADO POR ELA!","2020-08-11T22:21:49Z","UCGfBwrCoi9ZJjKiUK8MmJNw","Pietro Guedes","22","2020-08-12T00:00:00Z","pietro|guedes|ingrid|ohara|pingrid|vlog|amigos|jully|molina|mansão|mansao|dos|youtubers|gkhouse","263835","85095","487","4500","https://i.ytimg.com/vi/s9FH4rDMvds/default.jpg","False","False","Salve rapaziada, neste vídeo me declarei pra ela e me surpreendi com a resposta! Espero que gostem! =)MINHAS REDES- Instagram: https://www.instagram.com/190pietro/?hl=pt-br- TikTok: https://www.tiktok.com/@190pietro?lang=pt_BR - Twitter: https://mobile.twitter.com/ttdo190►CANAIS DOS PARTICIPANTES E PLAYLIST TODOS VÍDEOS DA CASA:Playlist ➜ https://www.youtube.com/playlist?list=PLrT75fWIkg088N2Q_h1Hw5Lq-j9YWxAOCCanais: ➜ Gregory Kessey: https://www.youtube.com/GregoryKessey➜Peixinho: https://www.youtube.com/Peixe➜Ingrid ohara: https://www.youtube.com/IngridOharaTV ➜Vivi Wanderley: https://www.youtube.com/ViviWanderley➜Luiza Parente: https://www.youtube.com/channel/UCRKMoImiahCNu833HVQVhBA➜190 Pietro: https://www.youtube.com/channel/UCGfBwrCoi9ZJjKiUK8MmJNw➜João Caetano: https://www.youtube.com/JoãoCaetanoyoutuber➜Jully Molinna: https://www.youtube.com/jullymolinnablog➜Bya Kessey: https://www.instagram.com/ByaKessey"
"jbGRowa5tIk","ITZY “Not Shy” M/V TEASER","2020-08-11T15:00:13Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","2020-08-12T00:00:00Z","JYP Entertainment|JYP|ITZY|있지|ITZY Video|ITZY Yeji|ITZY Lia|ITZY Ryujin|ITZY Chaeryeong|ITZY Yuna|있지 예지|있지 리아|있지 류진|있지 채령|있지 유나|예지|리아|류진|채령|유나|Yeji|Lia|Ryujin|Chaeryeong|Yuna|ITZY BEHIND|ITZY VIDEOS|ITZY DEBUT|있지 데뷔|not shy|ITZY not shy|ITZY TEASER|있지 티저|not shy 티저|있지 뮤비 티저|not shy 뮤비 티저|ITZY MV TEASER|ITZY MV|M/V|TEASER|있지 컴백|ITZY COMEBACK|not shy MV|낫샤이 뮤비|낫샤이|not shy opening trailer|opening trailer","6000070","714310","15176","31040","https://i.ytimg.com/vi/jbGRowa5tIk/default.jpg","False","False","ITZY Not Shy M/V[ITZY Official] https://www.youtube.com/c/ITZYhttps://www.instagram.com/itzy.all.in.us/http://www.twitter.com/ITZYOfficialhttp://www.facebook.com/OfficialITZYhttp://ITZY.jype.comhttp://fans.jype.com/ITZY#ITZY #NotShy #ITZY_NotShyCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved"
"3EfkCrXKZNs","Oh Juliana PARÓDIA - MC Niack","2020-08-10T14:59:00Z","UCoXZmVma073v5G1cW82UKkA","As Irmãs Mota","22","2020-08-12T00:00:00Z","OH JULIANA PARÓDIA|MC Niack PARÓDIA|PARÓDIAS|AS IRMÃS MOTA|IRMÃS MOTA PARÓDIAS|PARÓDIA OH JULIANA|PARÓDIA JULIANA","2296748","39761","5484","0","https://i.ytimg.com/vi/3EfkCrXKZNs/default.jpg","True","False","Se inscrevam meus amores! 📬 Quer nos mandar algo? 📨📦🛍📬Essa é nossa caixa postal:CAIXA POSTAL: 07CEP: 39.400.970MONTES CLAROS/MGAG. Central dos Correios de Montes Claros/MG.* coloque o nome pra quem deseja mandar.. Núbia, Camily ou Rodrigo MotaINSTAGRAM:  @nubiabinhaa e @camilymottaa EMAIL COMERCIAL: nubiamota@yahoo.com.brBjinhos..😚❤"
"gBjox7vn3-g","Contos de Runeterra: Targon | A Estrada Tortuosa","2020-08-11T15:00:09Z","UC6Xqz2pm50gDCORYztqhDpg","League of Legends BR","20","2020-08-12T00:00:00Z","Riot|Riot Games|League of Legends|lol|trailer|cinematic|animação|cg|short|curta|animation|animated|movie|vídeo|riot|riot games|champions|campeões|card game|jogo de cartas|moba|legends of runeterra|legends runeterra|legends|runeterra|runterra|LoR|league of legends|league|LoL|diana|leona|targon|águas de sentina|noxus|ionia|shadow isles|ilhas das sombras|demacia|piltover|zaun|freljord","300510","46222","242","2748","https://i.ytimg.com/vi/gBjox7vn3-g/default.jpg","False","False","Você se unirá aos Lunari e aos Solari em Targon? Jogue agora em https://playruneterra.com/pt-brSob a sombra de um eclipse iminente, uma jovem batedora Lunari escapa da prisão com seu namorado Solari, e o casal decide dar as costas a Targon para sempre.Apresentando:Diana, o Escárnio da LuaLeona, a Alvorada RadianteExplore Targon:Jogue com Targon em Legends of Runeterra: https://playruneterra.com/pt-brMais detalhes sobre Targon: https://universe.leagueoflegends.com/pt_BR/region/mount-targon/Conheça Runeterra: https://map.leagueoflegends.com/pt_BR"
"npoUGx7UW7o","Entrevista com Thammy Miranda | The Noite (10/08/20)","2020-08-11T20:04:02Z","UCEWOoncsrmirqnFqxer9lmA","The Noite com Danilo Gentili","23","2020-08-12T00:00:00Z","The Noite|The Noite com Danilo Gentili|Danilo Gentili|Murilo Couto|Léo Lins|Juliana|Diguinho|Diguinho Coruja|Ultraje a Rigor|Roger|Marcos Kleine|Bacalhau|Mingau|talk show|late night|talk show night|danilo talk show|danilo late night|The Noite 10 de Agosto|The Noite 10/08|Entrevista|Thammy Miranda","327235","22059","3972","2751","https://i.ytimg.com/vi/npoUGx7UW7o/default.jpg","False","False","Danilo Gentili recebe Thammy Miranda. Após passar o primeiro dia dos pais com seu filho Bento fora da barriga da esposa, Andressa, ele comenta como foi seu domingo e também conversa sobre os novos desafios que vieram com a paternidade. Confira!__________________________________________________________________*Trechos removidos de acordo com as políticas do youtube*O The Noite é um talk show apresentado por Danilo Gentili e vai ao ar de segunda a sexta nas madrugadas do SBT. Personalidades de todas as áreas são entrevistadas no programa, que também conta com Léo Lins, Murilo Couto, a assistente de palco Juliana e o locutor Diguinho Coruja. A trilha sonora fica por conta da banda Ultraje a Rigor e os comentários são cortesia do vocalista Roger Moreira. Completam o grupo o baixista Mingau, o guitarrista Marcos Kleine e o baterista Bacalhau.Veja mais em http://www.sbt.com.br/thenoite/Inscreva-se no canal do The Noite: http://www.youtube.com/sbtthenoiteCurta a página do programa no Facebook:  https://www.facebook.com/SBTTheNoiteSiga o perfil oficial do programa no Twitter:https://twitter.com/SBTTheNoiteE no Instagram:https://www.instagram.com/sbtthenoite"
"Vu6PNpYKu2U","DICAS DA RODADA 2 | CARTOLA FC 2020: BORA MITAR E ACUMULAR CARTOLETAS!","2020-08-11T17:14:20Z","UCJVbvkrBLp7L2pnaqc5CmQQ","Cartoleiros Gazeta do Povo","17","2020-08-12T00:00:00Z","cartola|cartola fc|cartola 2020|dicas cartola 2020|cartola fc 2020|cartoleiros gazeta do povo|gazeta do povo cartola|cartoleiros gp|professor cartola|dicas cartola 2ª rodada|dicas cartola rodada 2|futeloucos","117217","14220","106","785","https://i.ytimg.com/vi/Vu6PNpYKu2U/default.jpg","False","False","No vídeo, time principal, time para liga tiro curto e também de valorização para te ajudar na 2ª rodada do Cartola FC 2020 que é fundamental para engordar os cofres! #cartola #cartolafc #cartolafc2020- Inscrição para liga tiro curto Futeloucos com premiação: http://futeloucos.com/site/index.php/user/registrar/?code=8608955- Receba as dicas da rodada no seu e-mail: https://bit.ly/3imY7Kn***Sugestão de time bom e barato: Rafael; Juninho Capixaba e Aderlan (capitão); Bruno Fuchs e Aguilar; Patrick de Paula, Everton Ribeiro e Nathan; Cléber, Savarino e Gabigol. Técnico: Felipe Conceição. Custo: C$ 84,01.***VOCÊ PODE SE TORNAR UM CARTOLEIRO PREMIUM E GARANTIR NOSSAS DICAS EXTRAS E EXCLUSIVAS PARA TODA A TEMPORADA 2020!Sendo assinante, você terá acesso a:🎩 Grupos exclusivo para receber as dicas extras do Professor🎩 Acesso aos times pessoais do Professor e do Casão em todas as rodadas🎩 Conteúdo voltado para liga tiro curto e de rodada única🎩 Live exclusiva no YouTube🎩 Central de Atendimento para tirar dúvidas individuais🎩 E muito mais!Ficou interessado? É só clicar aqui: http://bit.ly/2rpTyty***Siga o Cartoleiros também no Instagram: https://www.instagram.com/cartoleirosgp/Grupo gratuito no Telegram: https://t.me/cartoleirosgazetaTwitter: https://twitter.com/Cartoleiros_GPBlog: https://www.gazetadopovo.com.br/blogs/cartoleiros/E-mail profissional: cartoleirosgp@gmail.com***"
"ly8jXKq_9AE","LIVE PLAYLIST DA TAY.","2020-08-12T03:31:08Z","UCg9nWuUISG69Hv2VaCrE72w","Tayara Andreza","10","2020-08-12T00:00:00Z","[None]","93022","7595","166","136","https://i.ytimg.com/vi/ly8jXKq_9AE/default.jpg","False","False","#playlistdatay #tayaraandreza #taydeumjeitodiferente #brega #tay #arrocha"
"QAUqqcEU0Xc","PEDI ELA EM NAMORO? FIZ UM JANTAR ROMÂNTICO PRA ELA!","2020-08-11T00:02:35Z","UCOPS25AxMB9te9_-AHt3JEg","PEIXE","24","2020-08-12T00:00:00Z","peixe|peixinho","1427499","225365","2287","9647","https://i.ytimg.com/vi/QAUqqcEU0Xc/default.jpg","False","False","Neste video Espero que se divirtam! :)►CANAIS DOS PARTICIPANTES E PLAYLIST TODOS VÍDEOS DA CASA:Playlist ➜ https://www.youtube.com/playlist?list=PLrT75fWIkg088N2Q_h1Hw5Lq-j9YWxAOCCanais: ➜ Gregory Kessey: https://www.youtube.com/GregoryKessey➜Peixinho: https://www.youtube.com/Peixe➜Ingrid ohara: https://www.youtube.com/IngridOharaTV ➜Vivi Wanderley: https://www.youtube.com/ViviWanderley➜Luiza Parente: https://www.youtube.com/channel/UCRKMoImiahCNu833HVQVhBA➜190 Pietro: https://www.youtube.com/channel/UCGfBwrCoi9ZJjKiUK8MmJNw➜João Caetano: https://www.youtube.com/JoãoCaetanoyoutuber➜Jully Molinna: https://www.youtube.com/jullymolinnablog➜Bya Kessey: https://www.instagram.com/ByaKessey"
"eA4FRvf6vdM","AO VIVO - Apresentação do meia Carlinhos e bate-papo com Ricardo","2020-08-12T00:58:57Z","UCZD5qcen7lbLPFTjfvdLFcw","Vasco TV","17","2020-08-12T00:00:00Z","#Vasco|#VascoDaGama|#VascoTV|#FutebolBrasileiro","97711","17153","65","226","https://i.ytimg.com/vi/eA4FRvf6vdM/default.jpg","False","False",""
"8f70QZQB4UA","MASTERCHEF BRASIL (11/08/2020) | PARTE 2 | EP 05 | TEMP 07","2020-08-12T08:02:01Z","UC2EWGw-KBjEReUbXMJEiaCA","MasterChef Brasil","24","2020-08-12T00:00:00Z","masterchef temporada 7|participantes do masterchef 2020|masterchef 11\/08\/2020|masterchef brasil 2020|masterchef 11/08/2020|participantes masterchef 2020|masterchefbrasil|assistir masterchef online|assistir tv online|assistir band ao vivo|masterchef ao vivo|masterchef online|master chef|masterchef 2020|quem saiu do masterchef|eliminado masterchef 2020|paola carosella|erick jacquin|henrique fogaça","199577","7700","129","874","https://i.ytimg.com/vi/8f70QZQB4UA/default.jpg","False","False","Assista à Parte 2 do Episódio 5 da 7ª Temporada de MasterChef Brasil. #MasterChefBrasil no YouTube, inscreva-se no canal: https://goo.gl/hcUL7XConheça os Produtos #MasterChefBR:ChicoRei: https://bit.ly/2CGO1odLabel Rouge: https://bit.ly/3j9r5OVAcvita: https://bit.ly/3h7mLxXAvon: https://bit.ly/3eCaHmPBaldoni: https://bit.ly/3fBzybxCacau Show: https://bit.ly/3h3XxR4FestColor: https://bit.ly/32r0KpULiquigas: https://bit.ly/3eBUe1YVemplast: https://bit.ly/2Ox26qMAssista também: Dicas MasterChef: https://goo.gl/nBOlsjMasterChef A Revanche | 1ª Temporada (Completa): https://bit.ly/3easm6aMasterChef Brasil | 6ª Temporada (Completa): https://bit.ly/2Xj62kvMasterChef Brasil | 5ª Temporada (Completa): https://bit.ly/2Xm0Rk4MasterChef Brasil | 4ª Temporada (Completa): https://bit.ly/2V8fSmIMasterChef Brasil | 3ª Temporada (Completa): https://bit.ly/2Vdkfgj MasterChef Brasil | 2ª Temporada (Completa): https://bit.ly/2RmXfdGMasterChef Brasil | 1ª Temporada (Completa): https://bit.ly/2Vbp0qQ MasterChef Junior Brasil | 1ª Temporada (Completa): https://bit.ly/3e8AzHF#MasterChefProfissionais | 1ª Temporada (Completa): https://bit.ly/2XkML2k MasterChef Profissionais| 2ª Temporada (Completa): https://bit.ly/2Ro18inMasterChef Profissionais| 3ª Temporada (Completa): https://bit.ly/2x4R33dOs comentários nos vídeos do canal MasterChef Brasil implicam na autorização de uso gratuito e sem limitação da imagem a critério exclusivo da Endemol Shine Brasil, para posterior publicação, transmissão, retransmissão, reprodução, distribuição ou divulgação em TV, cinema, rádio, internet, publicidade ou qualquer outro veículo de comunicação, produção de DVD e home-video, sem que caracterize uso indevido ou qualquer outra violação de direitos e sem que deste uso decorra qualquer ônus / indenização."
