video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"UYXa8R9vvzA","皆からの色々な質問に何も隠さず答える！びっくりさせたらごめん笑","2020-08-11T10:00:06Z","UCZCzstgLGQdK8GSztJHh0-w","タナカガ","22","2020-08-12T00:00:00Z","[None]","778499","34811","667","3939","https://i.ytimg.com/vi/UYXa8R9vvzA/default.jpg","False","False","登録者数30万人ありがとうございます！！！ご機嫌ようみなさま。お久しぶりでございます。なんか色々突然過ぎてごめんなさい笑質問の動画は前から撮ろうと思っててんけど、いざ質問募集してみると「彼氏本当にいないんですか？」とか「さすがに彼氏出来ましたよね！？」みたいな質問で溢れかえっててビックリした所存でございます笑でも聞かれたからには答えないとという事で突然ですが答えさせていただきました。ビックリさせちゃってごめんなさい。でも本当に心から尊敬できて、めちゃくちゃ優しくて(ブブにも)私には勿体無いぐらい素敵な人なので暖かく見守って頂ければなと思います！！彼氏出来て思った事は、彼氏おる人って毎日こんな幸せな生活送ってるん？私ほんまに２１年間何してたん？以上です。~タナカガ~【Twitter】https://twitter.com/Tanakaga_【Instagram】https://www.instagram.com/tanakaga.12【TikTok】https://vt.tiktok.com/dwQH3E/　~パパラピーズ~【YouTube】https://www.youtube.com/channel/UCwN4CR-bDM9ZjvPhb44AfxQ"
"02MaoZ5n-uM","【異次元】世界に伝えたい『This is ギータ』【変態打ち】","2020-08-11T13:36:28Z","UC0v-pxTo1XamIDE-f__Ad0Q","(パーソル パ・リーグTV公式)PacificLeagueTV","17","2020-08-12T00:00:00Z","パーソルパリーグTV|パリーグTV|パシフィックリーグ|Pacificleague|プロ野球","1161952","18514","259","4115","https://i.ytimg.com/vi/02MaoZ5n-uM/default.jpg","False","False","言葉が出ない。スゴすぎて、異次元過ぎて、言葉が出ない。左対左、だけど何となく打ちそうな気はしていた。でも実際にその通りになると、言葉が出ない。スゴすぎて。世界に伝えたい、福岡ソフトバンク・柳田悠岐の『This is ギータ』。＜パ・リーグ主催全試合を生中継！パーソル パ・リーグTVはこちら！＞https://tv.pacificleague.jp/✓パ・リーグ6球団公式情報をお届け：https://insight.official-pacificleague.com/✓パーソル パ・リーグTVチャンネル登録：www.youtube.com/c/PacificLeagueTVofficial/✓パ・リーグの過去映像を見るなら：http://bit.ly/3aFW2X5✓動画をもっと見るなら：www.youtube.com/c/PacificLeagueTVofficial/SNSも毎日更新中！▶Twitter：https://twitter.com/PacificleagueTV▶Instagram：https://www.instagram.com/pacificleaguetv/▶Facebook：https://www.facebook.com/pacificleaguetv▶LINE：https://lin.ee/2hB4obT#福岡ソフトバンクホークス #柳田悠岐 #SoftBankHawks #福岡軟銀 #パーソルパリーグTV #パシフィックリーグ #新しい特等席"
"ucDDYszgj5c","【親心】てつやを一番よく知るのは誰？第１回てつやの母親に聞くてつや王！","2020-08-11T12:00:11Z","UCutJqz56653xV2wwSvut_hQ","東海オンエア","23","2020-08-12T00:00:00Z","[None]","1980557","63961","692","6216","https://i.ytimg.com/vi/ucDDYszgj5c/default.jpg","False","False","それにしても実家に帰ってません。あまりにいつでも帰れるので逆にタイミングが難しくなってます。てつやの実家の方が行ってるくらいです。しかし帰って来いとは言われません。僕が元気なのは毎日更新されるYouTubeやSNSを通して充分伝わってるからかもしれません。帰って来いどころか僕がある程度大きくなってからは、僕のすることに口出しもしません。家業があるのに自由にさせてくれます。信じて僕に賭けてます。現状建設業を学んでいてほしかっただろう長男は、YouTuberとカフェオーナーをしています。誤算ではあるでしょう。勝手にさせてもらってるからには、「息子どう育つかなギャンブル」を必ず勝たせなければなりません。何も蔑ろにするつもりはありません。お盆は久しぶりに帰ろうと思います。(編集 : りょう)どうも、東海オンエアです。ぜひチャンネル登録お願いします！サブチャンネル【東海オンエアの控え室】もぜひチャンネル登録してね！！！https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2Aグッズ購入はこちらから！！https://goo.gl/YtauZW有料メンバーシップの登録はこちらから！https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ/joinお仕事の依頼はこちらからhttps://www.uuum.co.jp/inquiry_promotionファンレターはこちらへ〒107-6228東京都港区赤坂9-7-1ミッドタウン・タワー 28階UUUM株式会社 東海オンエア宛【Twitterアカウント】てつや→https://twitter.com/TO_TETSUYAとしみつ→https://twitter.com/TO_TOSHIMITSUしばゆー→https://twitter.com/TOKAI_ONAIRりょう→https://twitter.com/TO_RYOOゆめまる→https://twitter.com/TO_yumemarucas虫眼鏡→https://twitter.com/TO_ZAWAKUN"
"M9Pmf9AB4Mo","Apex Legends | Stories from the Outlands – “The Endorsement”","2020-08-11T17:00:10Z","UC0ZV6M2THA81QT9hrVWJG3A","Apex Legends","20","2020-08-12T00:00:00Z","Apex Legends|Apex Legends characters|new Apex Legend|Apex Legends Rampart|Apex Legends Season 6|Apex Legends Boosted|Battle Pass|Season 6 Battle Pass|Apex Legends new season|Apex Legends game|Respawn Apex Legends|Battle Royale game|Battle Royale|Battle Royale shooter|Apex Games|squad play|multiplayer shooter|Apex Legends PS4|Apex Legends Xbox|Apex Legends PC|Apex Legends Origin|Respawn Entertainment|Electronic Arts|Titanfall 2|fun battle royale","2381688","146742","2794","16557","https://i.ytimg.com/vi/M9Pmf9AB4Mo/default.jpg","False","False","While running her own modding shop, Ramya Parekh (aka Rampart) built her rep in underground gauntlet circuits. But success has a way of making enemies. Good thing she knows how to use all those fancy weapons she’s upgraded…  Apex Legends™ is a free-to-play battle royale game where legendary characters battle for glory, fame, and fortune on the fringes of the Frontier. Play for free now on Xbox One, PS4, and Origin for PC. Learn more about Apex Legends Season 6 – Boosted: http://x.ea.com/64060 Check out our YouTube channel: http://x.ea.com/56710.Follow us on Twitter: https://twitter.com/playapex.Follow us on Instagram: https://www.instagram.com/playapex/.#MeetRampart #ApexSeason6 #ApexSeasonSix #ApexLegends"
"tkaU_Ctzhes","映画『銀魂 THE FINAL』特報　2021年1月8日(金)公開","2020-08-11T23:00:00Z","UCSrwpEM8lBM4jR5YoKX3XOQ","ワーナー ブラザース 公式チャンネル","1","2020-08-12T00:00:00Z","銀魂|gintama|劇場版|空知英秋|杉田智和|釘宮理恵|阪口大助|アニメ|anime|週刊少年ジャンプ|Weekly JUMP|映画|公式|WB|ワーナー|ワーナー・ブラザース|劇場|アクション|コメディ|漫画|集英社|坂田銀時|志村新八|神楽|真選組|銀さん|小栗旬|菅田将暉|橋本環奈|天気の子|名探偵コナン|鬼滅の刃|るろうに剣心|キングダム|翔んで埼玉|佐藤二朗|ムロツヨシ|特報|予告|trailer","442524","14388","73","1420","https://i.ytimg.com/vi/tkaU_Ctzhes/default.jpg","False","False","「銀魂」本当のラスト!最後のバカ騒ぎが、始まる!笑いも涙も宇宙規模で限界突破！『銀魂 THE FINAL』新年1月8日(金)に公開決定！2021年のお正月は「銀魂」で決まりだァァァァ！！■『銀魂 THE FINAL』2021年1月8日(金)公開公式サイト：gintamamovie.jp 公式Twitter：@gintamamovie  #銀魂ザファイナル©空知英秋／劇場版銀魂製作委員会　配給：ワーナー・ブラザース映画"
"dQ40Mi1eYTA","元ヤクルト宮本慎也とキャッチボール。暴投しない人はこう投げる。","2020-08-11T09:30:02Z","UCfkM3u-0uSKADDitZLpXcfA","トクサンTV【A&R】","26","2020-08-12T00:00:00Z","プロ野球|ニュース|配球|監督|コツ|ライパチ|トクサン|アニキ|天晴|トクサンTV|クニヨシTV","431031","6096","123","607","https://i.ytimg.com/vi/dQ40Mi1eYTA/default.jpg","False","False","トクサンTV的未来モンスター企画！この日は関東の強豪東練馬リトルシニアにきましたが、、、そこに元NPBレジェンドがいたのでキャチボールした【東練馬リトルシニア情報】https://www.higashinerima.com/チームベースボールTシャツhttps://store.shopping.yahoo.co.jp/k-conmart/t-17.htmlhttps://store.shopping.yahoo.co.jp/k-conmart/t-18.html【全国の野球ショップさんへ…賛同していただける方はぜひご連絡を！】tokusanTV@gmail.com独立リーグのリアル配信中！「ワイラプTV」...登録してちょ！https://www.youtube.com/channel/UCEDJgq9yLYrooQMZkXXwWfAクニヨシTV【with サルトラ】（兄弟チャンネル）https://www.youtube.com/channel/UCN7zL9IXNqxZDMIjlih1_Mw★天晴の成績・試合予定は「PLAY PORTAL」で見れます★https://tmhub.jp/teams/3365/home★毎日18:30に動画をアップします！！★ We upload a new baseball video EVERY DAY so please SUBSCRIBE ★チャンネル登録はこちら↓https://www.youtube.com/channel/UCfkM3u-0uSKADDitZLpXcfAーーーーーーーーーー ★＜トクサン＞ツイッター↓ @tokusanTV  ★＜アニキ＞ツイッター↓@Aniki_kusayakyu★＜ライパチ＞ツイッター↓@no8rightboy是非 フォローお願いいたしますm(_ _)m★トクサンTVとコラボレーションのお問い合わせはtokusanTV@gmail.com（※可能な限り御返信させて頂きます）"
"jbGRowa5tIk","ITZY “Not Shy” M/V TEASER","2020-08-11T15:00:13Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","2020-08-12T00:00:00Z","JYP Entertainment|JYP|ITZY|있지|ITZY Video|ITZY Yeji|ITZY Lia|ITZY Ryujin|ITZY Chaeryeong|ITZY Yuna|있지 예지|있지 리아|있지 류진|있지 채령|있지 유나|예지|리아|류진|채령|유나|Yeji|Lia|Ryujin|Chaeryeong|Yuna|ITZY BEHIND|ITZY VIDEOS|ITZY DEBUT|있지 데뷔|not shy|ITZY not shy|ITZY TEASER|있지 티저|not shy 티저|있지 뮤비 티저|not shy 뮤비 티저|ITZY MV TEASER|ITZY MV|M/V|TEASER|있지 컴백|ITZY COMEBACK|not shy MV|낫샤이 뮤비|낫샤이|not shy opening trailer|opening trailer","6000070","714306","15176","31040","https://i.ytimg.com/vi/jbGRowa5tIk/default.jpg","False","False","ITZY Not Shy M/V[ITZY Official] https://www.youtube.com/c/ITZYhttps://www.instagram.com/itzy.all.in.us/http://www.twitter.com/ITZYOfficialhttp://www.facebook.com/OfficialITZYhttp://ITZY.jype.comhttp://fans.jype.com/ITZY#ITZY #NotShy #ITZY_NotShyCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved"
"VZsRB9lddwA","私の現実","2020-08-11T09:00:38Z","UC7Dsvga6ZIiLq5E3SRezrWw","瓜苦","22","2020-08-12T00:00:00Z","[None]","122810","8627","134","1781","https://i.ytimg.com/vi/VZsRB9lddwA/default.jpg","False","False",""
"XrjmrjmpdPs","【アニメ】IQ300のコンビニ店員ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ","2020-08-11T10:00:09Z","UCxkjgt_ePhbOoCRPr0szT8Q","たすくこま","10","2020-08-12T00:00:00Z","UCxkjgt_ePhbOoCRPr0szT8Q|たすくこま|替え歌|Cover|MV|PV|アニメ|カバー|デブ|ニート|歌ってみた|面白い|コンビニ|コンビニ店員","337897","5140","572","826","https://i.ytimg.com/vi/XrjmrjmpdPs/default.jpg","False","False","【アニメ】IQ300のコンビニ店員ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ「もしもコンビニ店員がIQ300だったら」を想像してオリジナルアニメ作ってみました。私がコンビニの夜勤をやっていたころは真夜中でも笑顔を絶やさないで最高の接客してました（笑）【チャンネル登録お願いします！】→http://www.youtube.com/channel/UCxkjgt_ePhbOoCRPr0szT8Q?sub_confirmation=1◾️『たすくこまCD・グッズ』ネット販売はこちらから！https://tasukukoma.theshop.jp◾️オリジナル楽曲配信中！！・1st Album 『デブでもいいさ』https://linkco.re/bzgqUT34【チャンネルメンバーシップに入ってこのチャンネルを応援してください！】チャンネルメンバーシップで得た収益で、・動画のクオリティをあげたい！・イベントを開催したり、参加して皆様と会える機会を増やしたい！・オリジナル曲を定期的に制作したい！・本格的なMV撮影したい！と思っています！たすくこまの部屋コース　月額490円・カスタムバッジ・限定絵文字・限定生配信（2〜3週間に一回程度、不定期）・最新情報、舞台裏の様子をメンバー限定で投稿（不定期）たすくこま支援コース　月額2990円・カスタムバッジ・限定絵文字・限定生配信（2〜3週間に一回程度、不定期）・最新情報、舞台裏の様子をメンバー限定で投稿（不定期）・限定動画（不定期）・オリジナルボイス（音声データ）を毎月送ります👇こちらの「メンバーになる」からぜひご参加ください！https://www.youtube.com/channel/UCxkjgt_ePhbOoCRPr0szT8Q/join■公式FC（ファンコミュニティー）『たすくこま カロリーズ』が出来ました！詳細、入会はこちら！https://fanicon.net/fancommunities/291もしくはfaniconアプリをダウンロードして「たすくこま」で検索！カロリーズに入会してたすくこまを応援してくれたら嬉しいです！おすすめ再生リスト【替え歌全集】→https://www.youtube.com/playlist?list=PLrammZT0FH9E4w9k0_SqXUZk6kI0ChBmf【替え歌＝バンド系】→https://www.youtube.com/playlist?list=PLrammZT0FH9Ez1pc3crjIuRgNCocZX9lD【替え歌＝アイドル、J-POP、ディズニー系】→https://www.youtube.com/playlist?list=PLrammZT0FH9GcSpRQW7nXdexA2EoMbVLr【歌ってみた動画】→https://www.youtube.com/playlist?list=PLrammZT0FH9EZYXqrfsUC_RQ8U8E4lrvD★自己紹介★替え歌を発信している体重120キロくらいのただのデブです。たすくこまオフィシャルサイトhttp://tasukukoma.comたすくこまTwitter https://twitter.com/kppkpp1＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿他の替え歌もご覧ください！原曲：高嶺の花子さん / back number　替え歌：太めの花子さんhttps://youtu.be/W9ZHsBbaX8o原曲：完全感覚Dreamer / ONE OK ROCK　替え歌：完全完食Dinnerhttps://youtu.be/kMMfq0KG7KU原曲：やってみよう / WANIMA　替え歌：痩せてみようhttps://youtu.be/ObFgAp86tfA原曲：レット・イット・ゴー　アナと雪の女王　替え歌：一生 FAT よーhttps://youtu.be/Jmx8hW4I-dw原曲：天体観測　替え歌：暴飲暴食https://youtu.be/2iqgKEmN1yI＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿カラオケこちらからお借りしました！制作↓イエティ吉澤Twitter https://twitter.com/Yeti_Yoshizawa/【お仕事の問い合わせはこちら】info@tasukukoma.com株式会社PLiiiP（プリープ）https://pliiip.work/amazonほしい物リストhttps://www.amazon.co.jp/hz/wishlist/ls/3QPWFCNF6D5SH#たすくこま　#替え歌　#デブ　#歌ってみた　#カバー　#Cover　#ニート　#コンビニ　#店員"
"CyKAgXbEX3A","DLC「マニアクスパック」紹介PV ‐『真・女神転生III NOCTURNE HD REMASTER』","2020-08-12T03:00:13Z","UCDKOsemhPLrK4JnsZqkxHLA","atlustube","20","2020-08-12T00:00:00Z","[None]","183630","7876","163","1436","https://i.ytimg.com/vi/CyKAgXbEX3A/default.jpg","False","False","魔人、再臨──真・女神転生III –NOCTURNE マニアクスより魔人・ダンテ（CV.森川智之）が真3HDに登場。 鮮やかに生まれ変わった“マニアクスが有料DLC「マニアクスパック」として2020年10月29日に配信決定。いま、ふたたび神話がよみがえる---『真・女神転生III NOCTURNE HD REMASTER』2020年10月29日、PlayStation®4＆Nintendo Switch™で発売。http://shin-megamitensei.jp/3hd/▼予約はこちらからhttps://www.atlus.co.jp/news/13825/▼公式Twitterhttps://twitter.com/megaten_atlus---©ATLUS ©SEGA All rights reserved.©CAPCOM CO., LTD. ALL RIGHTS RESERVED."
